Butterfly,Goddess,Tree,Warrior
171.6617,96.48641574,172.1424,173.818
172.1178,94.32398555,171.7847,170.339
3.014369,92.42365837,172.5808,94.95233
2.86596,92.41960958,172.5073,100.7774
75.91426772,103.9070767,175.9635,127.8061
76.85890552,110.385623,124.9082,100.7495
16.55305354,101.7335078,175.4018,173.9021
16.9699062,99.30519439,47.4455,105.5676
